id,char,htmlCode,cssCode,hexCode,htmlEntity,description
32, ,&#32;,\0020,0x20,,Space
33,!,&#33;,\0021,0x21,,Exclamation mark
34,"""",&#34;,\0022,0x22,&quot;,Double quote
35,#,&#35;,\0023,0x23,,Hash symbol
36,$,&#36;,\0024,0x24,,Dollar
37,%,&#37;,\0025,0x25,,Percent
38,&,&#38;,\0026,0x26,&amp;,Ampersand
39,',&#39;,\0027,0x27,,Single quote
40,(,&#40;,\0028,0x28,,Opening parenthesis
41,),&#41;,\0029,0x29,,Closing parenthesis
42,*,&#42;,\002a,0x2a,,Asterisk
43,+,&#43;,\002b,0x2b,,Plus sign
44,",",&#44;,\002c,0x2c,,Comma
45,-,&#45;,\002d,0x2d,,Minus sign - Hyphen
46,.,&#46;,\002e,0x2e,,Period
47,/,&#47;,\002f,0x2f,,Forward slash
48,0,&#48;,\0030,0x30,,
49,1,&#49;,\0031,0x31,,
50,2,&#50;,\0032,0x32,,
51,3,&#51;,\0033,0x33,,
52,4,&#52;,\0034,0x34,,
53,5,&#53;,\0035,0x35,,
54,6,&#54;,\0036,0x36,,
55,7,&#55;,\0037,0x37,,
56,8,&#56;,\0038,0x38,,
57,9,&#57;,\0039,0x39,,
58,:,&#58;,\003a,0x3a,,Colon
59,;,&#59;,\003b,0x3b,,Semicolon
60,<,&#60;,\003c,0x3c,,Less than sign
61,=,&#61;,\003d,0x3d,,Equal sign
62,>,&#62;,\003e,0x3e,,Greater than sign
63,?,&#63;,\003f,0x3f,,Question mark
64,@,&#64;,\0040,0x40,,At symbol
65,A,&#65;,\0041,0x41,,
66,B,&#66;,\0042,0x42,,
67,C,&#67;,\0043,0x43,,
68,D,&#68;,\0044,0x44,,
69,E,&#69;,\0045,0x45,,
70,F,&#70;,\0046,0x46,,
71,G,&#71;,\0047,0x47,,
72,H,&#72;,\0048,0x48,,
73,I,&#73;,\0049,0x49,,
74,J,&#74;,\004a,0x4a,,
75,K,&#75;,\004b,0x4b,,
76,L,&#76;,\004c,0x4c,,
77,M,&#77;,\004d,0x4d,,
78,N,&#78;,\004e,0x4e,,
79,O,&#79;,\004f,0x4f,,
80,P,&#80;,\0050,0x50,,
81,Q,&#81;,\0051,0x51,,
82,R,&#82;,\0052,0x52,,
83,S,&#83;,\0053,0x53,,
84,T,&#84;,\0054,0x54,,
85,U,&#85;,\0055,0x55,,
86,V,&#86;,\0056,0x56,,
87,W,&#87;,\0057,0x57,,
88,X,&#88;,\0058,0x58,,
89,Y,&#89;,\0059,0x59,,
90,Z,&#90;,\005a,0x5a,,
91,[,&#91;,\005b,0x5b,,Opening bracket
92,\,&#92;,\005c,0x5c,,Backslash
93,],&#93;,\005d,0x5d,,Closing bracket
94,^,&#94;,\005e,0x5e,,Caret - circumflex
95,_,&#95;,\005f,0x5f,,Underscore
96,`,&#96;,\0060,0x60,,Grave accent
97,a,&#97;,\0061,0x61,,
98,b,&#98;,\0062,0x62,,
99,c,&#99;,\0063,0x63,,
100,d,&#100;,\0064,0x64,,
101,e,&#101;,\0065,0x65,,
102,f,&#102;,\0066,0x66,,
103,g,&#103;,\0067,0x67,,
104,h,&#104;,\0068,0x68,,
105,i,&#105;,\0069,0x69,,
106,j,&#106;,\006a,0x6a,,
107,k,&#107;,\006b,0x6b,,
108,l,&#108;,\006c,0x6c,,
109,m,&#109;,\006d,0x6d,,
110,n,&#110;,\006e,0x6e,,
111,o,&#111;,\006f,0x6f,,
112,p,&#112;,\0070,0x70,,
113,q,&#113;,\0071,0x71,,
114,r,&#114;,\0072,0x72,,
115,s,&#115;,\0073,0x73,,
116,t,&#116;,\0074,0x74,,
117,u,&#117;,\0075,0x75,,
118,v,&#118;,\0076,0x76,,
119,w,&#119;,\0077,0x77,,
120,x,&#120;,\0078,0x78,,
121,y,&#121;,\0079,0x79,,
122,z,&#122;,\007a,0x7a,,
123,{,&#123;,\007b,0x7b,,Opening brace
124,|,&#124;,\007c,0x7c,,Vertical bar
125,},&#125;,\007d,0x7d,,Closing brace
126,~,&#126;,\007e,0x7e,,Equivalency sign - tilde
